BlackAvg,WhiteAvg,HispanicAvg,AvgIncome,Combo,school_id,SQRPRating,SQRPRankingNumber,AccountabilityStatus,AccountabilityStatusNumber,NSAReading3-8,NSAMath3-8
0.98,0.01,0,35438.31082,BB,609902,Level 2,4,Provisional Support,2,34,22
0.01,0.18,0.78,49523.80587,BH,609903,Level 1+,1,Good Standing,1,58,54
0.95,0.03,0.02,23917.21993,AB,609904,Level 1+,1,Good Standing,1,63,53
0.88,0.05,0.03,35707.92092,BB,609908,Level 2,4,Provisional Support,2,37,17
0.02,0.16,0.61,42501.51011,B,609909,Level 1+,1,Good Standing,1,61,62
0.02,0.2,0.75,41530.27049,BH,609910,Level 1,2,Good Standing,1,50,50
0.01,0.68,0.18,72980.09537,C,609912,Level 1,2,Good Standing,1,81,83
0.95,0.02,0.01,27938.85897,AB,610213,Level 1,2,Good Standing,1,33,29
0.97,0,0.02,47748.46357,BB,609917,Level 1,2,Good Standing,1,79,79
0.68,0.16,0.05,18445.42033,A,609919,Level 1+,1,Good Standing,1,43,58
0.01,0.02,0.98,26504.21251,A,609920,Level 2+,3,Good Standing,1,31,25
0.02,0.02,0.93,30504.06601,BH,609921,Level 2+,3,Good Standing,1,51,26
0.95,0,0.02,32033.07633,BB,609924,Level 2,4,Provisional Support,2,21,9
0.97,0,0.02,56229.58829,BB,609927,Level 2+,3,Good Standing,1,49,35
0.94,0.02,0.01,28625.08446,AB,609928,Level 1,2,Good Standing,1,22,25
0.46,0.01,0.51,30075.88369,B,609929,Level 1,2,Good Standing,1,22,29
0.13,0.23,0.62,38712.56347,B,609930,Level 2+,3,Good Standing,1,48,35
0.31,0.44,0.15,32191.21585,B,609933,Level 2,4,Intensive Support,3,30,18
0.01,0.12,0.87,31762.64875,BH,609935,Level 2+,3,Good Standing,1,55,47
0,0.75,0.17,72893.03368,CW,609937,Level 1+,1,Good Standing,1,87,85
0.97,0.01,0.01,47447.58726,BB,609939,Level 3,5,Intensive Support,3,31,21
0.91,0.01,0.07,38434.92248,BB,609941,Level 2+,3,Good Standing,1,24,22
0.02,0.5,0.42,56327.52998,B,609942,Level 1+,1,Good Standing,1,82,83
0.05,0.35,0.6,35243.67387,B,609944,Level 1,2,Good Standing,1,84,78
0.2,0.51,0.1,33492.25298,B,609945,Level 1+,1,Good Standing,1,87,85
0.16,0.52,0.28,45244.0577,B,609947,Level 2+,3,Good Standing,1,50,44
0.01,0.39,0.54,56799.28325,B,609949,Level 1,2,Good Standing,1,65,68
0.01,0.02,0.97,36814.74935,BH,609950,Inability to Rate,FALSE,Good Standing,1,0,0
0.01,0.16,0.67,39519.05891,B,609952,Level 2+,3,Good Standing,1,33,33
0.9,0.04,0.04,18884.26484,AB,609954,Level 2+,3,Good Standing,1,38,26
0.97,0.01,0,38835.60926,BB,609955,Level 1+,1,Intensive Support,3,49,43
0.02,0.35,0.63,56003.06298,B,609956,Level 1+,1,Good Standing,1,84,84
0.03,0.02,0.01,30158.36506,B,609959,Level 1+,1,Good Standing,1,91,98
0,0.49,0.48,61102.89603,C,609960,Level 1+,1,Good Standing,1,78,70
0.81,0.02,0.17,24657.2558,AB,609961,Level 3,5,Intensive Support,3,22,8
0.01,0.85,0.06,106644.7841,DW,609963,Level 1+,1,Good Standing,1,94,83
0.12,0.05,0.82,31926.38606,BH,609964,Level 2,4,Intensive Support,3,19,14
0.12,0.08,0.79,29202.90472,A,609966,Level 2+,3,Good Standing,1,42,19
0.31,0.07,0.59,33540.56884,B,609967,Level 2+,3,Good Standing,1,55,43
0.06,0.11,0.83,37045.60323,BH,609968,Level 2+,3,Good Standing,1,33,25
0.47,0.35,0.08,42231.44349,B,609969,Level 1,2,Good Standing,1,65,47
0.93,0.02,0.02,24155.96779,AB,609971,Level 2+,3,Intensive Support,3,14,17
0.05,0.24,0.56,49613.12229,B,609972,Level 1,2,Good Standing,1,56,50
0.01,0.03,0.97,36116.8331,BH,609973,Level 1+,1,Good Standing,1,59,74
0.82,0.01,0.17,38070.18194,BB,609975,Level 2,4,Provisional Support,2,29,27
